"distinguish","telic","telic","telic"
"blended","telic","telic","telic"
"iced","telic","telic","telic"
"ruin","telic","telic","telic"
"freed","telic","telic","telic"
"gulping","atelic","atelic","atelic"
"invited","telic","telic","telic"
"simplifying","telic","telic","telic"
"slant","atelic","atelic","atelic"
"daydream","atelic","atelic","atelic"
"bested","telic","telic","telic"
"categorized","telic","telic","telic"
"divulged","telic","telic","telic"
"made","telic","telic","telic"
"bang","telic","telic","telic"
"baby-sitting","atelic","atelic","atelic"
"extort","telic","telic","telic"
"REEVALUATE","telic","telic","telic"
"impart","telic","telic","telic"
"rebuke","telic","telic","telic"
"conceived","telic","telic","telic"
"sheltered","atelic","atelic","atelic"
"nominated","telic","telic","telic"
"executed","telic","telic","telic"
"vomited","dummy_t","telic","telic"
"budge","telic","telic","telic"
"firing","atelic","atelic","atelic"
"capsized","telic","telic","telic"
"transformed","telic","telic","telic"
"salvaged","telic","telic","telic"
"conversing","atelic","atelic","atelic"
"messed","telic","telic","telic"
"scar","telic","telic","telic"
"looked","telic","telic","telic"
"crash","telic","telic","telic"
"cured","telic","telic","telic"
"eliminating","telic","telic","telic"
"slaking","atelic","atelic","atelic"
"fended","telic","telic","telic"
"repealed","telic","telic","telic"
"spilled","telic","telic","telic"
"master","telic","telic","telic"
"flooded","telic","telic","telic"
"wrangle","atelic","atelic","atelic"
"outfit","telic","telic","telic"
"gyrating","atelic","atelic","atelic"
"deleted","telic","telic","telic"
"devolved","telic","telic","telic"
"advised","telic","telic","telic"
"circumventing","telic","telic","telic"
"bake","telic","telic","telic"
"redouble","telic","telic","telic"
"glanced","telic","telic","telic"
"opened","telic","telic","telic"
"convulsing","atelic","atelic","atelic"
"fished","atelic","atelic","atelic"
"badger","atelic","atelic","atelic"
"expelled","telic","telic","telic"
"scurried","telic","telic","telic"
"dubbed","telic","telic","telic"
"overstepped","telic","telic","telic"
"curtailed","telic","telic","telic"
"witness","telic","telic","telic"
"swamp","telic","telic","telic"
"deferred","telic","telic","telic"
"consigned","telic","telic","telic"
"pestering","atelic","atelic","atelic"
"bare","telic","telic","telic"
"curbed","telic","telic","telic"
"relented","telic","telic","telic"
"consummated","telic","telic","telic"
"disposed","telic","telic","telic"
"wolfed","telic","telic","telic"
"repeated","telic","telic","telic"
"trod","atelic","atelic","atelic"
"shower","telic","telic","telic"
"severing","telic","telic","telic"
"orbits","atelic","atelic","atelic"
"fortify","telic","telic","telic"
"abandoned","telic","telic","telic"
"waken","telic","telic","telic"
"acquit","telic","telic","telic"
"invented","telic","telic","telic"
"misfired","telic","telic","telic"
"overruled","telic","telic","telic"
"projected","telic","telic","telic"
"informed","telic","telic","telic"
"outdone","telic","telic","telic"
"compounded","telic","telic","telic"
"committed","telic","telic","telic"
